tweet_id	doi
1264492484232712192	10.1101/2020.05.05.20088757
1264491090956226561	10.1101/2020.05.05.20088757
1264489244430606337	10.1101/2020.05.05.20088757
1264488464923459585	10.1101/2020.05.05.20088757
1264488140594728967	10.1101/2020.05.05.20088757
1264487956288614401	10.1101/2020.05.05.20088757
1264486060819730432	10.1101/2020.05.05.20088757
1264485770154446848	10.1101/2020.05.05.20088757
1264483587321143296	10.1101/2020.05.05.20088757
1264483153932161028	10.1101/2020.05.05.20088757
1264482664557535232	10.1101/2020.05.05.20088757
1264481525501960194	10.1101/2020.05.05.20088757
1264480898885566464	10.1101/2020.05.05.20088757
1264480173283594240	10.1101/2020.05.05.20088757
1264480027871195136	10.1101/2020.05.05.20088757
1264478087481364481	10.1101/2020.05.05.20088757
1264477338374483974	10.1101/2020.05.05.20088757
1264476374343004161	10.1101/2020.05.05.20088757
1264476319624105985	10.1101/2020.05.05.20088757
1264476245846302721	10.1101/2020.05.05.20088757
1264475931437080577	10.1101/2020.05.05.20088757
1264474163986739200	10.1101/2020.05.05.20088757
1264474066955710465	10.1101/2020.05.05.20088757
1264473792056897536	10.1101/2020.05.05.20088757
1264469864422440961	10.1101/2020.05.05.20088757
1264469245980704768	10.1101/2020.05.05.20088757
1264457633911668737	10.1101/2020.05.05.20088757
1264446443340869635	10.1101/2020.05.05.20088757
1264440939524902913	10.1101/2020.05.05.20088757
1264421789083611136	10.1101/2020.05.05.20088757
1264402981539188928	10.1101/2020.05.05.20088757
1264402754199576576	10.1101/2020.05.05.20088757
1264397129268764672	10.1101/2020.05.05.20088757
1264395293291880448	10.1101/2020.05.05.20088757
1264394941691826178	10.1101/2020.05.05.20088757
1264394803476942848	10.1101/2020.05.05.20088757
1264392875514740736	10.1101/2020.05.05.20088757
1264391339095011330	10.1101/2020.05.05.20088757
1264390985158721536	10.1101/2020.05.05.20088757
1264387859282309120	10.1101/2020.05.05.20088757
1264385601152917504	10.1101/2020.05.05.20088757
1264385016999616513	10.1101/2020.05.05.20088757
1264384643362631685	10.1101/2020.05.05.20088757
1264383877285543937	10.1101/2020.05.05.20088757
1264383667750789120	10.1101/2020.05.05.20088757
1264380340900110336	10.1101/2020.05.05.20088757
1264380177544609792	10.1101/2020.05.05.20088757
1264379201169358849	10.1101/2020.05.05.20088757
1264379156726452225	10.1101/2020.05.05.20088757
1264378428280786946	10.1101/2020.05.05.20088757
1264378075606847489	10.1101/2020.05.05.20088757
1264377541219008514	10.1101/2020.05.05.20088757
1264376423667634176	10.1101/2020.05.05.20088757
1264371993576644610	10.1101/2020.05.05.20088757
1264364823938314242	10.1101/2020.05.05.20088757
1264326851457101824	10.1101/2020.05.05.20088757
1264318648136667136	10.1101/2020.05.05.20088757
1264318139065667585	10.1101/2020.05.05.20088757
1264316819478925313	10.1101/2020.05.05.20088757
1264312294898622464	10.1101/2020.05.05.20088757
1264310159075094528	10.1101/2020.05.05.20088757
1264307505443803136	10.1101/2020.05.05.20088757
1264305907900592129	10.1101/2020.05.05.20088757
1264305214141665281	10.1101/2020.05.05.20088757
1264304470541963271	10.1101/2020.05.05.20088757
1264303514588721153	10.1101/2020.05.05.20088757
1264302812005007360	10.1101/2020.05.05.20088757
1264302017964658690	10.1101/2020.05.05.20088757
1264300237507756032	10.1101/2020.05.05.20088757
1264299958540386306	10.1101/2020.05.05.20088757
1264299606491516931	10.1101/2020.05.05.20088757
1264299552305225729	10.1101/2020.05.05.20088757
1264299336214761472	10.1101/2020.05.05.20088757
1264299283207110657	10.1101/2020.05.05.20088757
1264298905837109249	10.1101/2020.05.05.20088757
1264298789222973440	10.1101/2020.05.05.20088757
1264296749990100993	10.1101/2020.05.05.20088757
1264277890289602563	10.1101/2020.05.05.20088757
1264262623593463813	10.1101/2020.05.05.20088757
1264259243072524289	10.1101/2020.05.05.20088757
1264253971759337472	10.1101/2020.05.05.20088757
1264248509542391815	10.1101/2020.05.05.20088757
1264227609250054149	10.1101/2020.05.05.20088757
1264219343073808386	10.1101/2020.05.05.20088757
1264211652230119424	10.1101/2020.05.05.20088757
1264208791928811520	10.1101/2020.05.05.20088757
1264204236595826688	10.1101/2020.05.05.20088757
1264199380019613696	10.1101/2020.05.05.20088757
1264196388386148352	10.1101/2020.05.05.20088757
1264193963197706241	10.1101/2020.05.05.20088757
1264183451667836934	10.1101/2020.05.05.20088757
1264158069833031681	10.1101/2020.05.05.20088757
1264140785575960579	10.1101/2020.05.05.20088757
1264126562854633472	10.1101/2020.05.05.20088757
1264123785818656771	10.1101/2020.05.05.20088757
1264107848763654144	10.1101/2020.05.05.20088757
1264095200965787649	10.1101/2020.05.05.20088757
1264095175690813441	10.1101/2020.05.05.20088757
1264094994392113152	10.1101/2020.05.05.20088757
1264086594107011073	10.1101/2020.05.05.20088757
1264085617496989697	10.1101/2020.05.05.20088757
1264084903164952577	10.1101/2020.05.05.20088757
1264081275859677184	10.1101/2020.05.05.20088757
1264076321384214534	10.1101/2020.05.05.20088757
1264071742483501058	10.1101/2020.05.05.20088757
1264070326176174080	10.1101/2020.05.05.20088757
1264068373140430849	10.1101/2020.05.05.20088757
1264060943874560005	10.1101/2020.05.05.20088757
1264030377020096517	10.1101/2020.05.05.20088757
1264014392909234181	10.1101/2020.05.05.20088757
1263999465255469056	10.1101/2020.05.05.20088757
1263988555858272258	10.1101/2020.05.05.20088757
1263979240812412934	10.1101/2020.05.05.20088757
1263966889262428160	10.1101/2020.05.05.20088757
1263959323253903360	10.1101/2020.05.05.20088757
1263949662022774784	10.1101/2020.05.05.20088757
1263937883448147970	10.1101/2020.05.05.20088757
1263937420120252416	10.1101/2020.05.05.20088757
1263937319301795842	10.1101/2020.05.05.20088757
1263934607394824194	10.1101/2020.05.05.20088757
1263930726002692098	10.1101/2020.05.05.20088757
1263925876787425285	10.1101/2020.05.05.20088757
1263915711606525956	10.1101/2020.05.05.20088757
1263905302346432515	10.1101/2020.05.05.20088757
1263892444883623936	10.1101/2020.05.05.20088757
1263886892988325889	10.1101/2020.05.05.20088757
1263885494699597826	10.1101/2020.05.05.20088757
1263880352117948417	10.1101/2020.05.05.20088757
1263880340810215424	10.1101/2020.05.05.20088757
1263879714575441920	10.1101/2020.05.05.20088757
1263876789186768897	10.1101/2020.05.05.20088757
1263874937485430784	10.1101/2020.05.05.20088757
1263867809089630208	10.1101/2020.05.05.20088757
1263867002919309312	10.1101/2020.05.05.20088757
1263864467458228226	10.1101/2020.05.05.20088757
1263861752980213765	10.1101/2020.05.05.20088757
1263857773479112704	10.1101/2020.05.05.20088757
1263857293046710272	10.1101/2020.05.05.20088757
1263848605640777729	10.1101/2020.05.05.20088757
1263848397469028355	10.1101/2020.05.05.20088757
1263846737921347584	10.1101/2020.05.05.20088757
1263838566024609793	10.1101/2020.05.05.20088757
1263838050397937665	10.1101/2020.05.05.20088757
1263831660883296257	10.1101/2020.05.05.20088757
1263830718477668352	10.1101/2020.05.05.20088757
1263829669062770688	10.1101/2020.05.05.20088757
1263829034653417473	10.1101/2020.05.05.20088757
1263826573498765313	10.1101/2020.05.05.20088757
1263826534546063360	10.1101/2020.05.05.20088757
1263826521556430852	10.1101/2020.05.05.20088757
1263825979635613696	10.1101/2020.05.05.20088757
1263824442012176385	10.1101/2020.05.05.20088757
1263824164403793921	10.1101/2020.05.05.20088757
1263823903153152001	10.1101/2020.05.05.20088757
1263823833166942209	10.1101/2020.05.05.20088757
1263822696904822784	10.1101/2020.05.05.20088757
1263820391392428032	10.1101/2020.05.05.20088757
1263820252842012674	10.1101/2020.05.05.20088757
1263819896779087873	10.1101/2020.05.05.20088757
1263819415495364608	10.1101/2020.05.05.20088757
1263819248662691846	10.1101/2020.05.05.20088757
1263817624707792896	10.1101/2020.05.05.20088757
1263815868242411520	10.1101/2020.05.05.20088757
1263811563808526336	10.1101/2020.05.05.20088757
1263808772239171584	10.1101/2020.05.05.20088757
1263807830689222658	10.1101/2020.05.05.20088757
1263806804070469632	10.1101/2020.05.05.20088757
1263806495424229377	10.1101/2020.05.05.20088757
1263804993666244608	10.1101/2020.05.05.20088757
1263804477871710208	10.1101/2020.05.05.20088757
1263802045519323136	10.1101/2020.05.05.20088757
1263801123950874624	10.1101/2020.05.05.20088757
1263800921953370114	10.1101/2020.05.05.20088757
1263800676741713921	10.1101/2020.05.05.20088757
1263797251991908357	10.1101/2020.05.05.20088757
1263796946038374401	10.1101/2020.05.05.20088757
1263795061935886337	10.1101/2020.05.05.20088757
1263794984727261185	10.1101/2020.05.05.20088757
1263794678366961665	10.1101/2020.05.05.20088757
1263792778204635136	10.1101/2020.05.05.20088757
1263792376813936640	10.1101/2020.05.05.20088757
1263789996852629505	10.1101/2020.05.05.20088757
1263785551464935424	10.1101/2020.05.05.20088757
1263782619294183425	10.1101/2020.05.05.20088757
1263782598633050112	10.1101/2020.05.05.20088757
1263782248819482625	10.1101/2020.05.05.20088757
1263781224952332288	10.1101/2020.05.05.20088757
1263779006635225091	10.1101/2020.05.05.20088757
1263778852456800257	10.1101/2020.05.05.20088757
1263778498931503105	10.1101/2020.05.05.20088757
1263777591783194630	10.1101/2020.05.05.20088757
1263777287306186752	10.1101/2020.05.05.20088757
1263774784938262528	10.1101/2020.05.05.20088757
1263772788319543296	10.1101/2020.05.05.20088757
1263771126003630081	10.1101/2020.05.05.20088757
1263770176044089344	10.1101/2020.05.05.20088757
1263769316413095937	10.1101/2020.05.05.20088757
1263769094752399360	10.1101/2020.05.05.20088757
1263769050255147008	10.1101/2020.05.05.20088757
1263762891850817538	10.1101/2020.05.05.20088757
1263761742523482112	10.1101/2020.05.05.20088757
1263761729688875009	10.1101/2020.05.05.20088757
1263756435940421632	10.1101/2020.05.05.20088757
1263755241054445568	10.1101/2020.05.05.20088757
1263755215880237056	10.1101/2020.05.05.20088757
1263754410028646400	10.1101/2020.05.05.20088757
1263754396778799109	10.1101/2020.05.05.20088757
1263753405186674697	10.1101/2020.05.05.20088757
1263753286898847745	10.1101/2020.05.05.20088757
1263752839790288896	10.1101/2020.05.05.20088757
1263752702602903552	10.1101/2020.05.05.20088757
1263752225832275969	10.1101/2020.05.05.20088757
1263750998952214529	10.1101/2020.05.05.20088757
1263748523650101249	10.1101/2020.05.05.20088757
1263747212649078786	10.1101/2020.05.05.20088757
1263746254745600000	10.1101/2020.05.05.20088757
1263745366631088129	10.1101/2020.05.05.20088757
1263745125144027136	10.1101/2020.05.05.20088757
1263744938841382913	10.1101/2020.05.05.20088757
1263744838966665217	10.1101/2020.05.05.20088757
1263744653775589381	10.1101/2020.05.05.20088757
1263743140659376128	10.1101/2020.05.05.20088757
1263742094591561729	10.1101/2020.05.05.20088757
1263741246201307137	10.1101/2020.05.05.20088757
1263741015728500737	10.1101/2020.05.05.20088757
